OBJECTID,LSTRNMID,LSTRNM,RSTRNMID,RSTRNM,postcode,DISTRICT,GISID,EINDSTRNM,EINDGEOM,LABEL_LSTRNM,LABEL_RSTRNM,RRSTRAATCODE_RSTRNM,RRSTRAATCODE_LSTRNM,RRSTRAATCODE_POSTCODE_LSTRNM,RRSTRAATCODE_POSTCODE_RSTRNM,STRAATNAAMID_12,RRSTRAATCODE_12,SHAPE_Length
14125,-9, ,-9, ,2180,Ekeren,11243032180,,, , ,,,,,,,12.975565497161
14126,-9, ,-9, ,2030,Antwerpen,4790172030,,, , ,,,,,,,77.7531102885784
14127,-9, ,-9, ,2610,Wilrijk,808842610,,, , ,,,,,,,363.806646209139
14128,-9, ,-9, ,2180,Ekeren,4204642180,,, , ,,,,,,,66.3907728401137
14129,-9, ,-9, ,2030,Antwerpen,4990062030,,, , ,,,,,,,26.0615510456211
14130,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4795602040,,, , ,,,,,,,91.3227910763318
14131,-9, ,-9, ,2610,Wilrijk,4245392610,,, , ,,,,,,,19.6252607252022
14132,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4689232040,,, , ,,,,,,,38.9738421653819
14133,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4721972040,,, , ,,,,,,,125.331387430083
14134,-9, ,-9, ,2050,Antwerpen,1189722050,,, , ,,,,,,,53.5131391030774
14135,-9, ,-9, ,2170,Merksem,11240212170,,, , ,,,,,,,11.527888478983
14136,-9, ,-9, ,2018,Antwerpen,4284622018,,, , ,,,,,,,36.4919494995727
14137,-9, ,-9, ,2170,Merksem,1332942170,,, , ,,,,,,,13.516863840064
14138,-9, ,-9, ,2660,Hoboken,1268712660,,, , ,,,,,,,159.678283384128
14139,-9, ,-9, ,2610,Wilrijk,4919752610,,, , ,,,,,,,53.0117911399098
14140,-9, ,-9, ,2180,Ekeren,4917592180,,, , ,,,,,,,11.6361307853804
14141,-9, ,-9, ,2610,Wilrijk,4678832610,,, , ,,,,,,,40.9029227758056
14142,-9, ,-9, ,2600,Berchem,4442862600,,, , ,,,,,,,1661.95993880842
14143,-9, ,-9, ,2030,Antwerpen,4682892030,,, , ,,,,,,,136.280395470157
14144,-9, ,-9, ,2660,Hoboken,961772660,,, , ,,,,,,,29.4759270408823
14145,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4228882040,,, , ,,,,,,,80.4491447809518
14146,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,1168622040,,, , ,,,,,,,36.04309115882
14147,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4489432040,,, , ,,,,,,,23.8436401545031
14148,-9, ,-9, ,2100,Deurne,4048752100,,, , ,,,,,,,46.7515998970807
14149,-9, ,-9, ,2050,Antwerpen,1311522050,,, , ,,,,,,,32.0859345093463
14150,-9, ,-9, ,2600,Berchem,4895242600,,, , ,,,,,,,76.0172648874349
14151,-9, ,-9, ,2600,Berchem,743992600,,, , ,,,,,,,43.7905096285771
14152,-9, ,-9, ,2018,Antwerpen,743992018,,, , ,,,,,,,111.748313461773
14153,-9, ,-9, ,2100,Deurne,1115592100,,, , ,,,,,,,40.0644130986619
14154,-9, ,-9, ,2020,Antwerpen,1284122020,,, , ,,,,,,,84.1267971427302
14155,-9, ,-9, ,2050,Antwerpen,1169212050,,, , ,,,,,,,87.6602938774381
14156,-9, ,-9, ,2180,Ekeren,954122180,,, , ,,,,,,,77.9167677712146
14157,-9, ,-9, ,2140,Borgerhout,11242842140,,, , ,,,,,,,56.7678656752039
14158,-9, ,-9, ,2180,Ekeren,1261732180,,, , ,,,,,,,14.4493775208537
14159,-9, ,-9, ,2030,Antwerpen,4631892030,,, , ,,,,,,,49.9065101058989
14160,-9, ,-9, ,2610,Wilrijk,4678752610,,, , ,,,,,,,37.7228184280615
14161,-9, ,-9, ,2020,Antwerpen,1107022020,,, , ,,,,,,,16.2823149778597
14162,-9, ,-9, ,2170,Merksem,4483432170,,, , ,,,,,,,119.578546323186
14163,-9, ,-9, ,2030,Antwerpen,4871402030,,, , ,,,,,,,36.1817233841152
14164,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,1226412040,,, , ,,,,,,,35.9924791190321
14165,-9, ,-9, ,2020,Antwerpen,1101992020,,, , ,,,,,,,621.943599078372
14166,-9, ,-9, ,2180,Ekeren,1284172180,,, , ,,,,,,,13.6267295069256
14167,-9, ,-9, ,2060,Antwerpen,4749892060,,, , ,,,,,,,20.0530890679674
14168,-9, ,-9, ,2050,Antwerpen,1344042050,,, , ,,,,,,,114.593237420447
14169,-9, ,-9, ,2100,Deurne,1285132100,,, , ,,,,,,,61.5785070071937
14170,-9, ,-9, ,2020,Antwerpen,980592020,,, , ,,,,,,,85.5449380374753
14171,-9, ,-9, ,2660,Hoboken,4512632660,,, , ,,,,,,,72.0291305166714
14172,-9, ,-9, ,2050,Antwerpen,1053262050,,, , ,,,,,,,10.5460709741164
14173,-9, ,-9, ,2140,Borgerhout,4215952140,,, , ,,,,,,,356.670125688729
14174,-9, ,-9, ,2600,Berchem,4289412600,,, , ,,,,,,,168.81615746136
14175,-9, ,-9, ,2170,Merksem,868832170,,, , ,,,,,,,34.8505444761412
14176,-9, ,-9, ,2660,Hoboken,1239212660,,, , ,,,,,,,81.295060947151
14177,-9, ,-9, ,2100,Deurne,1279632100,,, , ,,,,,,,31.3939457651201
14178,-9, ,-9, ,2100,Deurne,1094902100,,, , ,,,,,,,27.8588856399391
14179,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4743612040,,, , ,,,,,,,26.962945177943
14180,-9, ,-9, ,2030,Antwerpen,4743612030,,, , ,,,,,,,124.514835048404
14181,-9, ,-9, ,2180,Ekeren,1163432180,,, , ,,,,,,,33.5133378957992
14182,-9, ,-9, ,2180,Ekeren,1346072180,,, , ,,,,,,,35.0635150165724
14183,-9, ,-9, ,2000,Antwerpen,11312362000,,, , ,,,,,,,42.0787618844329
14184,-9, ,-9, ,2180,Ekeren,1217002180,,, , ,,,,,,,74.6141004458982
14185,-9, ,-9, ,2030,Antwerpen,4915632030,,, , ,,,,,,,81.333745545608
14186,-9, ,-9, ,2100,Deurne,883272100,,, , ,,,,,,,11.5343604729001
14187,-9, ,-9, ,2600,Berchem,1323052600,,, , ,,,,,,,23.0613739621343
14188,-9, ,-9, ,2180,Ekeren,1374072180,,, , ,,,,,,,182.463179324066
14189,-9, ,-9, ,2180,Ekeren,4638202180,,, , ,,,,,,,129.43367789749
14190,-9, ,-9, ,2020,Antwerpen,1417602020,,, , ,,,,,,,263.689581983215
14191,-9, ,-9, ,2610,Wilrijk,1008312610,,, , ,,,,,,,97.8522188099919
14192,-9, ,-9, ,2050,Antwerpen,856702050,,, , ,,,,,,,3.95230375660254
14193,-9, ,-9, ,2660,Hoboken,940752660,,, , ,,,,,,,102.372411052608
14194,-9, ,-9, ,2100,Deurne,4958412100,,, , ,,,,,,,144.712309121744
14195,-9, ,-9, ,2030,Antwerpen,4057592030,,, , ,,,,,,,148.232501818173
14196,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4335942040,,, , ,,,,,,,29.1274747264699
14197,-9, ,-9, ,2030,Antwerpen,4564612030,,, , ,,,,,,,103.067728074912
14198,-9, ,-9, ,2600,Berchem,4631742600,,, , ,,,,,,,67.2672796643919
14199,-9, ,-9, ,2100,Deurne,1381242100,,, , ,,,,,,,50.8359022734221
14200,-9, ,-9, ,2660,Hoboken,1292882660,,, , ,,,,,,,67.3976587142682
14201,-9, ,-9, ,2660,Hoboken,4240742660,,, , ,,,,,,,121.734248360163
14202,-9, ,-9, ,2610,Wilrijk,4222502610,,, , ,,,,,,,93.8977817671001
14203,-9, ,-9, ,2610,Wilrijk,4508392610,,, , ,,,,,,,260.825403137309
14204,-9, ,-9, ,2170,Merksem,1298052170,,, , ,,,,,,,80.526002934724
14205,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,797942040,,, , ,,,,,,,30.9020948344692
14206,-9, ,-9, ,2660,Hoboken,932082660,,, , ,,,,,,,15.0320181274686
14207,-9, ,-9, ,2050,Antwerpen,1239182050,,, , ,,,,,,,98.7746114824554
14208,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4835212040,,, , ,,,,,,,83.2092934352662
14209,-9, ,-9, ,2610,Wilrijk,4393252610,,, , ,,,,,,,19.5740971034192
14210,-9, ,-9, ,2020,Antwerpen,4744222020,,, , ,,,,,,,11.5908846485877
14211,-9, ,-9, ,2600,Berchem,1401602600,,, , ,,,,,,,260.965010200691
14212,-9, ,-9, ,2100,Deurne,830602100,,, , ,,,,,,,5.86477119951854
14213,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4638262040,,, , ,,,,,,,26.6194107135297
14214,-9, ,-9, ,2100,Deurne,1266492100,,, , ,,,,,,,94.0348851444768
14215,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4692442040,,, , ,,,,,,,131.957313643675
14216,-9, ,-9, ,2610,Wilrijk,4774852610,,, , ,,,,,,,111.035972182343
14217,-9, ,-9, ,2100,Deurne,11311822100,,, , ,,,,,,,28.6881075287038
14218,-9, ,-9, ,2610,Wilrijk,4906032610,,, , ,,,,,,,66.6816632012044
14219,-9, ,-9, ,2170,Merksem,4976752170,,, , ,,,,,,,36.5216854305405
14220,-9, ,-9, ,2030,Antwerpen,4743572030,,, , ,,,,,,,39.7092162424092
14221,-9, ,-9, ,2600,Berchem,4433322600,,, , ,,,,,,,115.020488350058
14222,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4663032040,,, , ,,,,,,,75.0919979579155
14223,-9, ,-9, ,2610,Wilrijk,4679552610,,, , ,,,,,,,17.7028531239274
14224,-9, ,-9, ,2180,Ekeren,4464572180,,, , ,,,,,,,95.6681855846235
14225,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4335932040,,, , ,,,,,,,27.2997897615513
14226,-9, ,-9, ,2610,Wilrijk,4464312610,,, , ,,,,,,,135.743016103369
14227,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4649252040,,, , ,,,,,,,146.530767558715
14228,-9, ,-9, ,2660,Hoboken,4725452660,,, , ,,,,,,,31.3340487704573
14229,-9, ,-9, ,2180,Ekeren,1169862180,,, , ,,,,,,,11.5847207137741
14230,-9, ,-9, ,2170,Merksem,996262170,,, , ,,,,,,,11.8987383670222
14231,-9, ,-9, ,2660,Hoboken,1043392660,,, , ,,,,,,,4.11065007045601
14232,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4289622040,,, , ,,,,,,,35.5493915460356
14233,-9, ,-9, ,2020,Antwerpen,853132020,,, , ,,,,,,,52.7079722582495
14234,-9, ,-9, ,2000,Antwerpen,11309862000,,, , ,,,,,,,43.9959709242084
14235,-9, ,-9, ,2060,Antwerpen,11309862060,,, , ,,,,,,,73.1556002976781
14236,-9, ,-9, ,2050,Antwerpen,4693702050,,, , ,,,,,,,59.0849634978411
14237,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4634062040,,, , ,,,,,,,88.0195697357429
14238,-9, ,-9, ,2610,Wilrijk,4407132610,,, , ,,,,,,,57.8734450781351
14239,-9, ,-9, ,2020,Antwerpen,1207272020,,, , ,,,,,,,42.0081369665078
14240,-9, ,-9, ,2018,Antwerpen,4974812018,,, , ,,,,,,,70.7014238573924
14241,-9, ,-9, ,2050,Antwerpen,816622050,,, , ,,,,,,,107.480436350327
14242,-9, ,-9, ,2610,Wilrijk,4936442610,,, , ,,,,,,,34.2463809524573
14243,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4120032040,,, , ,,,,,,,36.0516641683955
14244,-9, ,-9, ,2180,Ekeren,4940252180,,, , ,,,,,,,69.735225245254
14245,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4894082040,,, , ,,,,,,,132.893534376045
14246,-9, ,-9, ,2610,Wilrijk,1385732610,,, , ,,,,,,,23.3816716552982
14247,-9, ,-9, ,2600,Berchem,1385732600,,, , ,,,,,,,173.871654804181
14248,-9, ,-9, ,2660,Hoboken,1217362660,,, , ,,,,,,,37.4485101007713
14249,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4649502040,,, , ,,,,,,,30.1921339094629
14250,-9, ,-9, ,2610,Wilrijk,4315002610,,, , ,,,,,,,46.9995345932359
14251,-9, ,-9, ,2610,Wilrijk,4407122610,,, , ,,,,,,,63.2542441660918
14252,-9, ,-9, ,2180,Ekeren,854792180,,, , ,,,,,,,97.3896756764546
14253,-9, ,-9, ,2050,Antwerpen,1269002050,,, , ,,,,,,,125.497960502895
14254,-9, ,-9, ,2030,Antwerpen,4852742030,,, , ,,,,,,,30.7321692120169
14255,-9, ,-9, ,2000,Antwerpen,11243182000,,, , ,,,,,,,9.25916300376801
14256,-9, ,-9, ,2100,Deurne,1342952100,,, , ,,,,,,,94.7725535634787
14257,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4887892040,,, , ,,,,,,,85.715560859496
14258,-9, ,-9, ,2050,Antwerpen,859882050,,, , ,,,,,,,45.1414354110936
14259,-9, ,-9, ,2660,Hoboken,4244892660,,, , ,,,,,,,124.217402113595
14260,-9, ,-9, ,2020,Antwerpen,11262632020,,, , ,,,,,,,14.7513177745064
14261,-9, ,-9, ,2020,Antwerpen,1001462020,,, , ,,,,,,,30.0074987564633
14262,-9, ,-9, ,2660,Hoboken,816602660,,, , ,,,,,,,42.181377622897
14263,-9, ,-9, ,2170,Merksem,4979292170,,, , ,,,,,,,25.8276757556098
14264,-9, ,-9, ,2100,Deurne,1059792100,,, , ,,,,,,,49.3595995320476
14265,-9, ,-9, ,2030,Antwerpen,4812172030,,, , ,,,,,,,141.706567131202
14266,-9, ,-9, ,2170,Merksem,4784512170,,, , ,,,,,,,54.0648963493763
14267,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4679312040,,, , ,,,,,,,59.1934923177581
14268,-9, ,-9, ,2100,Deurne,1155522100,,, , ,,,,,,,98.7711028561551
14269,-9, ,-9, ,2610,Wilrijk,4806922610,,, , ,,,,,,,59.8053472657274
14270,-9, ,-9, ,2180,Ekeren,4636032180,,, , ,,,,,,,10.7732064027972
14271,-9, ,-9, ,2020,Antwerpen,4777942020,,, , ,,,,,,,32.3224988734536
14272,-9, ,-9, ,2170,Merksem,1123962170,,, , ,,,,,,,5.1580136715436
14273,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4051902040,,, , ,,,,,,,257.656513658836
14274,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,828792040,,, , ,,,,,,,55.1759961474697
14275,-9, ,-9, ,2030,Antwerpen,4895172030,,, , ,,,,,,,120.43567599463
14276,-9, ,-9, ,2030,Antwerpen,4679562030,,, , ,,,,,,,80.4847170251122
14277,-9, ,-9, ,2610,Wilrijk,11311732610,,, , ,,,,,,,610.167927576552
14278,-9, ,-9, ,2180,Ekeren,4228382180,,, , ,,,,,,,44.6283343041738
14279,-9, ,-9, ,2610,Wilrijk,4730622610,,, , ,,,,,,,62.6619400070277
14280,-9, ,-9, ,2040,Berendrecht-Zandvliet-Lillo,4335952040,,, , ,,,,,,,40.0337838248273
14281,-9, ,-9, ,2060,Antwerpen,1017752060,,, , ,,,,,,,23.4878609321012
14282,-9, ,-9, ,2140,Borgerhout,1340392140,,, , ,,,,,,,45.0616873605588
14283,-9, ,-9, ,2610,Wilrijk,844832610,,, , ,,,,,,,18.0095501568346
14284,-9, ,-9, ,2600,Berchem,4061522600,,, , ,,,,,,,326.179723029628
14285,-9, ,-9, ,2050,Antwerpen,1368972050,,, , ,,,,,,,22.5761898897022
