,speed,deg,gust,address,time,LSTRNM,postcode,DISTRICT,lat,lon,full_address
54,6.44,193,12.03,Admiraal de Boisotstraat 2000 Antwerpen,16-Nov 09:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
55,5.92,204,10.15,Admiraal de Boisotstraat 2000 Antwerpen,16-Nov 12:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
56,3.67,193,7.57,Admiraal de Boisotstraat 2000 Antwerpen,16-Nov 15:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
57,3.58,155,9.64,Admiraal de Boisotstraat 2000 Antwerpen,16-Nov 18:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
58,5.04,142,11.32,Admiraal de Boisotstraat 2000 Antwerpen,16-Nov 21:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
59,9.19,169,17.62,Admiraal de Boisotstraat 2000 Antwerpen,17-Nov 00:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
60,8.9,199,15.61,Admiraal de Boisotstraat 2000 Antwerpen,17-Nov 03:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
61,5.46,212,12.0,Admiraal de Boisotstraat 2000 Antwerpen,17-Nov 06:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
62,6.06,205,11.87,Admiraal de Boisotstraat 2000 Antwerpen,17-Nov 09:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
63,6.04,202,10.49,Admiraal de Boisotstraat 2000 Antwerpen,17-Nov 12:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
64,6.05,198,11.71,Admiraal de Boisotstraat 2000 Antwerpen,17-Nov 15:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
65,5.53,176,12.59,Admiraal de Boisotstraat 2000 Antwerpen,17-Nov 18:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
66,4.67,182,11.31,Admiraal de Boisotstraat 2000 Antwerpen,17-Nov 21:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
67,4.96,239,9.63,Admiraal de Boisotstraat 2000 Antwerpen,18-Nov 00:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
68,4.8,231,11.04,Admiraal de Boisotstraat 2000 Antwerpen,18-Nov 03:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
69,4.77,216,10.98,Admiraal de Boisotstraat 2000 Antwerpen,18-Nov 06:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
70,5.16,223,10.75,Admiraal de Boisotstraat 2000 Antwerpen,18-Nov 09:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
71,4.38,242,6.61,Admiraal de Boisotstraat 2000 Antwerpen,18-Nov 12:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
72,2.91,239,5.9,Admiraal de Boisotstraat 2000 Antwerpen,18-Nov 15:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
73,2.07,239,3.02,Admiraal de Boisotstraat 2000 Antwerpen,18-Nov 18:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
74,1.71,215,1.72,Admiraal de Boisotstraat 2000 Antwerpen,18-Nov 21:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
75,1.72,223,1.94,Admiraal de Boisotstraat 2000 Antwerpen,19-Nov 00:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
76,2.02,241,3.2,Admiraal de Boisotstraat 2000 Antwerpen,19-Nov 03:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
77,2.22,243,4.22,Admiraal de Boisotstraat 2000 Antwerpen,19-Nov 06:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
78,1.76,238,2.77,Admiraal de Boisotstraat 2000 Antwerpen,19-Nov 09:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
79,2.58,247,3.42,Admiraal de Boisotstraat 2000 Antwerpen,19-Nov 12:00,Admiraal de Boisotstraat,2000,Antwerpen,51.2066655,4.3928622,Admiraal de Boisotstraat 2000 Antwerpen
80,2.41,175,5.12,Adriaan Brouwerstraat 2000 Antwerpen,14-Nov 15:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
81,3.24,186,8.82,Adriaan Brouwerstraat 2000 Antwerpen,14-Nov 18:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
82,3.53,193,10.24,Adriaan Brouwerstraat 2000 Antwerpen,14-Nov 21:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
83,4.15,190,9.64,Adriaan Brouwerstraat 2000 Antwerpen,15-Nov 00:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
84,4.11,197,9.5,Adriaan Brouwerstraat 2000 Antwerpen,15-Nov 03:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
85,4.08,213,9.08,Adriaan Brouwerstraat 2000 Antwerpen,15-Nov 06:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
86,4.87,172,10.28,Adriaan Brouwerstraat 2000 Antwerpen,15-Nov 09:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
87,5.97,164,11.3,Adriaan Brouwerstraat 2000 Antwerpen,15-Nov 12:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
88,6.09,153,13.28,Adriaan Brouwerstraat 2000 Antwerpen,15-Nov 15:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
89,5.29,161,12.59,Adriaan Brouwerstraat 2000 Antwerpen,15-Nov 18:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
90,5.33,185,11.59,Adriaan Brouwerstraat 2000 Antwerpen,15-Nov 21:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
91,3.93,195,9.64,Adriaan Brouwerstraat 2000 Antwerpen,16-Nov 00:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
92,4.36,208,9.63,Adriaan Brouwerstraat 2000 Antwerpen,16-Nov 03:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
93,4.38,183,11.69,Adriaan Brouwerstraat 2000 Antwerpen,16-Nov 06:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
94,6.34,193,11.96,Adriaan Brouwerstraat 2000 Antwerpen,16-Nov 09:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
95,5.79,204,10.08,Adriaan Brouwerstraat 2000 Antwerpen,16-Nov 12:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
96,3.63,192,7.56,Adriaan Brouwerstraat 2000 Antwerpen,16-Nov 15:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
97,3.49,154,9.58,Adriaan Brouwerstraat 2000 Antwerpen,16-Nov 18:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
98,4.9,142,11.18,Adriaan Brouwerstraat 2000 Antwerpen,16-Nov 21:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
99,9.0,168,17.53,Adriaan Brouwerstraat 2000 Antwerpen,17-Nov 00:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
100,8.69,197,15.46,Adriaan Brouwerstraat 2000 Antwerpen,17-Nov 03:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
101,5.36,211,11.9,Adriaan Brouwerstraat 2000 Antwerpen,17-Nov 06:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
102,5.94,205,11.77,Adriaan Brouwerstraat 2000 Antwerpen,17-Nov 09:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
103,5.92,202,10.4,Adriaan Brouwerstraat 2000 Antwerpen,17-Nov 12:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
104,5.9,198,11.6,Adriaan Brouwerstraat 2000 Antwerpen,17-Nov 15:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
105,5.4,175,12.43,Adriaan Brouwerstraat 2000 Antwerpen,17-Nov 18:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
106,4.56,181,11.23,Adriaan Brouwerstraat 2000 Antwerpen,17-Nov 21:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
107,4.85,238,9.54,Adriaan Brouwerstraat 2000 Antwerpen,18-Nov 00:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
108,4.67,231,10.9,Adriaan Brouwerstraat 2000 Antwerpen,18-Nov 03:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
109,4.65,216,10.89,Adriaan Brouwerstraat 2000 Antwerpen,18-Nov 06:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
110,5.06,223,10.71,Adriaan Brouwerstraat 2000 Antwerpen,18-Nov 09:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
111,4.27,241,6.54,Adriaan Brouwerstraat 2000 Antwerpen,18-Nov 12:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
112,2.88,239,5.93,Adriaan Brouwerstraat 2000 Antwerpen,18-Nov 15:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
113,2.04,240,3.06,Adriaan Brouwerstraat 2000 Antwerpen,18-Nov 18:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
114,1.67,214,1.65,Adriaan Brouwerstraat 2000 Antwerpen,18-Nov 21:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
115,1.69,221,1.91,Adriaan Brouwerstraat 2000 Antwerpen,19-Nov 00:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
116,1.97,240,3.19,Adriaan Brouwerstraat 2000 Antwerpen,19-Nov 03:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
117,2.19,242,4.28,Adriaan Brouwerstraat 2000 Antwerpen,19-Nov 06:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
118,1.72,238,2.76,Adriaan Brouwerstraat 2000 Antwerpen,19-Nov 09:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
119,2.53,247,3.4,Adriaan Brouwerstraat 2000 Antwerpen,19-Nov 12:00,Adriaan Brouwerstraat,2000,Antwerpen,51.2275702,4.4034598,Adriaan Brouwerstraat 2000 Antwerpen
120,2.47,176,5.13,Allewaertstraat 2000 Antwerpen,14-Nov 15:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
121,3.33,186,8.87,Allewaertstraat 2000 Antwerpen,14-Nov 18:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
122,3.62,194,10.21,Allewaertstraat 2000 Antwerpen,14-Nov 21:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
123,4.2,190,9.66,Allewaertstraat 2000 Antwerpen,15-Nov 00:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
124,4.22,198,9.53,Allewaertstraat 2000 Antwerpen,15-Nov 03:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
125,4.13,213,9.17,Allewaertstraat 2000 Antwerpen,15-Nov 06:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
126,4.99,172,10.41,Allewaertstraat 2000 Antwerpen,15-Nov 09:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
127,6.11,164,11.4,Allewaertstraat 2000 Antwerpen,15-Nov 12:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
128,6.24,154,13.38,Allewaertstraat 2000 Antwerpen,15-Nov 15:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
129,5.44,163,12.74,Allewaertstraat 2000 Antwerpen,15-Nov 18:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
130,5.37,185,11.64,Allewaertstraat 2000 Antwerpen,15-Nov 21:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
131,4.0,196,9.67,Allewaertstraat 2000 Antwerpen,16-Nov 00:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
132,4.42,207,9.69,Allewaertstraat 2000 Antwerpen,16-Nov 03:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
133,4.5,183,11.73,Allewaertstraat 2000 Antwerpen,16-Nov 06:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
134,6.44,193,12.03,Allewaertstraat 2000 Antwerpen,16-Nov 09:00,Allewaertstraat,2000,Antwerpen,51.2076452,4.3943019,Allewaertstraat 2000 Antwerpen
