,LSTRNM,postcode,DISTRICT,lat,lon
182,Kleine Kraaiwijk,2000,Antwerpen,51.2246959,4.4003503
183,Kleine Markt,2000,Antwerpen,51.2156084,4.4021671
184,Kleine Pieter Potstraat,2000,Antwerpen,51.2201093,4.39808
185,Kloosterstraat_AN,2000,Antwerpen,51.2154351,4.3947229
186,Koeikensgracht,2000,Antwerpen,51.2272194,4.4127774
187,Koepoortbrug,2000,Antwerpen,51.2236463,4.4031563
188,Kolveniersstraat,2000,Antwerpen,51.217736,4.4103345
189,Komedieplaats,2000,Antwerpen,51.2164457,4.4054756
190,Kommekensstraat,2000,Antwerpen,51.2251893,4.4044303
191,Koninginnestraat,2000,Antwerpen,51.21153,4.4057569
192,Koningstraat,2000,Antwerpen,51.2214175,4.4091382
193,Koolkaai,2000,Antwerpen,51.2249515,4.4000702
194,Kopstraatje,2000,Antwerpen,51.2170321,4.4003858
195,Korte Brilstraat,2000,Antwerpen,51.2238133,4.4082953
196,Korte Doornikstraat,2000,Antwerpen,51.2233513,4.4005425
197,Korte Gasthuisstraat,2000,Antwerpen,51.217242,4.4040917
198,Korte Klarenstraat,2000,Antwerpen,51.2192419,4.4064453
199,Korte Koepoortstraat,2000,Antwerpen,51.2213299,4.402521
200,Korte Nieuwstraat,2000,Antwerpen,51.2203173,4.4040886
201,Korte Noordstraat,2000,Antwerpen,51.2240454,4.4049966
202,Korte Riddersstraat,2000,Antwerpen,51.2175958,4.3979356
203,Korte Schipperskapelstraat,2000,Antwerpen,51.226037,4.4027171
204,Korte Sint-Annastraat,2000,Antwerpen,51.2210349,4.4136013
205,Korte Vlierstraat,2000,Antwerpen,51.2150768,4.3959452
206,Korte Winkelstraat,2000,Antwerpen,51.221294,4.4146291
207,Korte Zeevaartstraat,2000,Antwerpen,51.2275691,4.4037412
208,Krabbenstraat,2000,Antwerpen,51.2223553,4.3986811
209,Kribbestraat,2000,Antwerpen,51.230069,4.410123
210,Kriekenstraat,2000,Antwerpen,51.2268121,4.4015525
211,Kromme-Elleboogstraat,2000,Antwerpen,51.2171635,4.394844
212,Kronenburgstraat,2000,Antwerpen,51.2118138,4.3991319
213,Kuipersstraat,2000,Antwerpen,51.2223675,4.3993286
214,Lakenstraat,2000,Antwerpen,51.2091357,4.3881539
215,Lambermontplaats,2000,Antwerpen,51.2070962,4.3915137
216,Lambermontstraat,2000,Antwerpen,51.2106595,4.3977932
217,Lammekensraamveld,2000,Antwerpen,51.2158139,4.4107071
218,Lange Brilstraat,2000,Antwerpen,51.2238133,4.4082953
219,Lange Doornikstraat,2000,Antwerpen,51.2226052,4.4003576
220,Langegang,2000,Antwerpen,51.2167212,4.4119096
221,Lange Gasthuisstraat,2000,Antwerpen,51.2160317,4.4047926
222,Lange Klarenstraat,2000,Antwerpen,51.218653,4.4080955
223,Lange Koepoortstraat,2000,Antwerpen,51.2226263,4.4023811
224,Lange Nieuwstraat,2000,Antwerpen,51.2199375,4.406264
225,Lange Noordstraat,2000,Antwerpen,51.2245082,4.4068854
226,Lange Riddersstraat,2000,Antwerpen,51.2168095,4.3971249
227,Lange Schipperskapelstraat,2000,Antwerpen,51.2260103,4.4008068
228,Lange Sint-Annastraat,2000,Antwerpen,51.2209758,4.4139245
229,Lange Vlierstraat,2000,Antwerpen,51.2141837,4.3977386
230,Lange Winkelstraat,2000,Antwerpen,51.2228241,4.4124259
231,Lansstraat,2000,Antwerpen,51.2243061,4.40761
232,Ledeganckkaai,2000,Antwerpen,51.2078634,4.3841164
233,Leeuw van Vlaanderenstraat,2000,Antwerpen,51.2209189,4.4036579
234,Leeuwenstraat,2000,Antwerpen,51.2186156,4.3993375
235,Leguit,2000,Antwerpen,51.2254547,4.4037132
236,Leopold de Waelplaats,2000,Antwerpen,51.2098016,4.394559
237,Leopold de Waelstraat,2000,Antwerpen,51.2082189,4.3925145
238,Leopoldplaats,2000,Antwerpen,51.2125496,4.4074069
239,Leopoldstraat,2000,Antwerpen,51.2153443,4.4068281
240,Leuvenstraat,2000,Antwerpen,51.2120297,4.3900678
241,Leysstraat,2000,Antwerpen,51.218321,4.413464100305548
242,Lijnwaadmarkt,2000,Antwerpen,51.2206083,4.4024436
243,Lombardenstraat,2000,Antwerpen,51.2169958,4.4025126
244,Lombardenvest,2000,Antwerpen,51.2177072,4.4010166
245,Londenbrug,2000,Antwerpen,51.2311505,4.407024
246,Londenstraat,2000,Antwerpen,51.2311505,4.407024
247,Louiza-Marialei,2000,Antwerpen,51.2133682,4.4116556
248,Louizastraat,2000,Antwerpen,51.2115219,4.4049839
249,Luikstraat,2000,Antwerpen,51.2103432,4.3896049
250,Maalderijstraat,2000,Antwerpen,51.2209669,4.4002434
251,Maarschalk Gérardstraat,2000,Antwerpen,51.2124626,4.4036467
252,Madrasstraat,2000,Antwerpen,51.2355344,4.411061
253,Makelarenplaats,2000,Antwerpen,51.2127585,4.3942969
254,Marguerie Schuilhaven,2000,Antwerpen,51.2275249,4.400095940026846
255,Maria Pijpelincxstraat,2000,Antwerpen,51.2160959,4.40923
256,Maria-Henriëttalei_AN,2000,Antwerpen,51.2118874,4.4091516
257,Markgravestraat,2000,Antwerpen,51.2201101,4.407497
258,Marnixplaats,2000,Antwerpen,51.2103091,4.3969541
259,Mechelseplein,2000,Antwerpen,51.2126144,4.4051875
260,Mechelsesteenweg,2000,Antwerpen,51.2109411,4.4077194
